Név;Osztály;Email;Jelszó
Novák Liza;11NY;novak.liza@gmail.com;Liza818
Orsós Henriett;11C;orsos.henriett@gmail.com;Henriett95064
Csonka Patrik;12C;csonka.patrik@gmail.com;Patrik691
Szűcs Olivér;10B;szucs.oliver@gmail.com;Oliver41164
Balázs Péter;10B;balazs.peter@gmail.com;Peter9661
Gulyás Ernő;9C;gulyas.erno@gmail.com;Erno19231
Balázs Hunor;11A;balazs.hunor@gmail.com;Hunor230
Virág Magyar;9B;virag.magyar@gmail.com;Magyar88634
Budai Liza;9D;budai.liza@gmail.com;Liza8593
Soós Gabriella;12B;soos.gabriella@gmail.com;Gabriella47554
Váradi Árpád;10C;varadi.arpad@gmail.com;Arpad248
Kelemen Liliána;11B;kelemen.liliana@gmail.com;Liliana23671
Pásztor Boróka;12C;pasztor.boroka@gmail.com;Boroka536
Fazekas Ádám;9C;fazekas.adam@gmail.com;Adam1339
Somogyi Patrícia;11A;somogyi.patricia@gmail.com;Patricia531
