Név;Osztályok;Email;Jelszó;Tárgyak
Deák Kristóf;9D,9B;deak.kristof@gmail.com;Kristof13231;Angol,Matek
Somogyi Andrea;10B,9B,11NY,11C;somogyi.andrea@gmail.com;Andrea1318;Informatika,Matek
Dobos Ramóna;11NY,9C,11C;dobos.ramona@gmail.com;Ramona011;Történelem,Matek
Simon Andrea;10B,9D,11C;simon.andrea@gmail.com;Andrea376;Nyelvtan,Matek
Nagy Albert;11A,11C,9C,11B;nagy.albert@gmail.com;Albert30138;Fizika,Matek,Angol
Farkas Botond;9B,11B,12C;farkas.botond@gmail.com;Botond08250;Fizika,Matek
Gulyás Jázmin;9B,9D,11A;gulyas.jazmin@gmail.com;Jazmin34835;Testnevelés,Irodalom,Nyelvtan
Takács Balázs;9B,11C,11NY;takacs.balazs@gmail.com;Balazs145;Fizika,Irodalom,Nyelvtan
Szalai Dorottya;9C,12C,9D;szalai.dorottya@gmail.com;Dorottya011;Matek,Angol
Rácz Angéla;11A,11B;racz.angela@gmail.com;Angela592;Fizika,Angol,Irodalom
Pintér Mihály;9B,11B,10C;pinter.mihaly@gmail.com;Mihaly766;Történelem,Nyelvtan
Katona Szervác;12B,10B,10C,11B;katona.szervac@gmail.com;Szervac780;Nyelvtan,Testnevelés,Angol
Vörös Jázmin;11A,10B,12B;voros.jazmin@gmail.com;Jazmin95600;Testnevelés,Irodalom
Biró Sára;11NY,9B,10C;biro.sara@gmail.com;Sara66801;Történelem,Testnevelés
Fekete Marianna;11B,9C;fekete.marianna@gmail.com;Marianna38249;Fizika,Történelem
Szabó Benedek;10C,12C,9D;szabo.benedek@gmail.com;Benedek476;Testnevelés,Matek,Informatika
